Course Code,Title,Description
ARCH 3016,- Architecture III,"Architectural design principles, technical concepts, applications, and measures of quality. Ongoing development of key professional skills such as modes of inquiry, problem structuring, drawing and modeling, workflows, and critique. Site, program, structural, regulatory, and environmental influences addressed in architectural formulations. Development of independent interests, research pursuits, and modes of working. 3015: Various materials and techniques of building design. The technical language of describing designed structures. Human experience, health & wellness, user needs, and regulatory standards in the built environment at multiple scales. Analysis of programmatic and site variables that influence design decisions and resource and environmental stewardship objectives. How fundamental design concepts (idea, movement, structure) and human occupation (context, program, experience) intersect with technical constructive knowledges (assembly, materials, building systems). Subjective
measures of quality in design. 3016: Continued studies in materials and techniques of building design. Building assemblies documented in technical
drawing, modeling, and writing. Interweaving of fundamental design concepts, human occupation, and technical constructive knowledges. How subjective and measurable (resource, environmental stewardship) criteria impact design decisions. Hybrid Lecture (2H, 2C), Lab (12L, 4C), Design Lab/Studio (2L, 1C) (2H,14L,7C)"
ARCH 3054,- Building Analysis,"Study of exemplary built works of architecture through analysis of design documents, interviews, and inspection of actual construction.  Course is completed as a group project resulting in both an oral presentation and a written document."
ARCH 3065,- Building Materials and Assemblies,"Study of what buildings are made of and how buildings are made, in support of architectural design decisions. Attributes of building materials informing their selection and use in buildings. Design and representation of building assemblies, systems, and details, including primary and secondary structural systems, the building envelope, and sub-assemblies, as influenced by formal design ideas, geometry, structure, construction processes, weather resistance, human health and well-being, and environmental impact and sustainability. 3065: Focus on wood, masonry, concrete, and steel construction systems; subsurface conditions and foundations; building codes, life-safety, and accessibility; and basic principles of building envelope systems. 3066: Review of wood, masonry, concrete, and steel construction. Focus on design of building envelope/enclosure wall systems and roofs, including consideration of water resistance, thermal insulation, air infiltration, and vapor control; building cost considerations; and appropriate modes of representation for detailed design decisions."
ARCH 3066,- Building Materials and Assemblies,"Study of what buildings are made of and how buildings are made, in support of architectural design decisions. Attributes of building materials informing their selection and use in buildings. Design and representation of building assemblies, systems, and details, including primary and secondary structural systems, the building envelope, and sub-assemblies, as influenced by formal design ideas, geometry, structure, construction processes, weather resistance, human health and well-being, and environmental impact and sustainability. 3065: Focus on wood, masonry, concrete, and steel construction systems; subsurface conditions and foundations; building codes, life-safety, and accessibility; and basic principles of building envelope systems. 3066: Review of wood, masonry, concrete, and steel construction. Focus on design of building envelope/enclosure wall systems and roofs, including consideration of water resistance, thermal insulation, air infiltration, and vapor control; building cost considerations; and appropriate modes of representation for detailed design decisions."
ARCH 3115,- Histories of Architecture,"Disciplinary study of architecture across time (pre-history to present) and across continents (Eastern, Western, Northern, and Southern hemispheres).  Histories, principles, and factors grounding architecture’s expression, form, and methods. Architecture as a cultural production reflective of its social, political, artistic, intellectual, technological, and environmental context.  Exploration through artifacts, texts, drawings.ARCH 3115: emphasis on artifacts and architecture between 25000 BCE and 1600 CE;ARCH 3116: includes architectural productions from 1600 CE to present."
ARCH 3116,- Histories of Architecture,"Disciplinary study of architecture across time (pre-history to present) and across continents (Eastern, Western, Northern, and Southern hemispheres).  Histories, principles, and factors grounding architecture’s expression, form, and methods. Architecture as a cultural production reflective of its social, political, artistic, intellectual, technological, and environmental context.  Exploration through artifacts, texts, drawings.ARCH 3115: emphasis on artifacts and architecture between 25000 BCE and 1600 CE;ARCH 3116: includes architectural productions from 1600 CE to present."
ARCH 3204,- Topics Modules in Architecture History & Theory,"Discrete topics in design theory, history, criticism, research methods, and representation. How historic, social, political, technological, and/or economic factors shape the built environment. Historical and contemporary significance of architectural productions within cultural dimensions of human history. How discrete modes of verbal, textual, visual, graphic, or spatial representation influence and reflect understanding relative to architectural form and
ideas. May be repeated 2 times with different content for a maximum of 3 credit hours."
ARCH 3224,- Topics Modules in Architectural Media and Methods,"Properties and uses of media, materials and processes as tools for analysis, documentation, and presentation of the designed environment. Media properties and processes. Selection of workflows. Appropriate use and maintenance of tools. Iterative design and evaluating outcomes. May be repeated 2 times with different content for a maximum of 3 credit hours. Design Lab/Studio (2L, 1C)"
ARCH 3234,- Topics Modules in Architecture and Praxis,"Specialized topics in the practice of architecture related to designing, planning, and managing the built environment. Factors that inform and impact both design processes and outcomes, such as environmental justice, professionalism, sustainability, inclusivity, and technology. Established and emerging frameworks of architectural practice in fostering the continuous improvement of the discipline. How architects and architecture can contribute to a variety of academic and professional contexts. Teamwork and leadership. May be repeated 2 times with different content for a maximum 3 credit hours."
ARCH 3304,- Topics in Architecture History & Theory,"Discrete topics in architecture theory, history, criticism, research methods, and representation. How historic, social, political, technological, and economic factors shape the built environment. Historical and contemporary significance of architectural productions within cultural dimensions of human history. The works and ideas of architects, urban planners, historians, theorists, and educators in the context of contemporary architecture. Critical discourse and inquiry. May be repeated 2 times with different content for a total of 9 credit hours."
ARCH 3504,- Topics in Architectural Media and Methods,"Topics in properties and uses of media, materials, and processes as tools for craft, analysis, documentation, and presentation of the designed environment. Media properties, materials and processes. Selection of workflows. Appropriate use and maintenance of tools. Interplay between media properties and workflows. Iterative design and evaluating outcomes. Parallel practices, techniques, and structures of thinking and
making. May be repeated 1 time with different content for a maximum of 6 credit hours. Design Lab/Studio (1H, 3L, 3C)"
ARCH 3604,- Topics in Architecture and Praxis,"Specialized topics in the practice of architecture related to designing, planning, and managing the built environment. Develop professional expertise with the knowledge, tools, and processes of the given topic through study, use, and reflection. Existing and emerging theories and frameworks that govern the practice of architecture and its outcomes in the constructed environment. Tools, methods, and practices towards the design of responsive, inclusive, and sustainable works of architecture. Position taken on an individual level within the profession of architecture. May be repeated 1 time with different content for a maximum of 6 credit hours."
ARCH 3900,- Bridge Experience,"Application of academic knowledge and skills to in a work-based experience aligned with post-graduation goals using research-based learning processes. Satisfactory completion of work-based experience often in the form of internship, undergraduate research, co-op, or study abroad; self-evaluation; reflection; and showcase of learning. Pre: Departmental approval of 3900 plan."
ARCH 3954,- Study Abroad,No description available
ARCH 3974,- Independent Study,No description available
ARCH 3984,- Special Study,No description available
ARCH 4004,- Architecture IV - Option Lab,"Advanced architecture laboratory with specialized design options, off-campus domestic and study abroad opportunities, technical research, and professional internships. Role of design processes in shaping the built environment in response to multiple factors and across diverse contexts. Immersion in professional or specialized settings to contextualize the student's position in the discipline. Development of student-driven course of action for pursuing ongoing professional interests through engagements with, and contributions to, disciplinary research and discourse. Engagement of new territories of inquiry and representation in design work. Critical professional skills in documentation of technical and discursive dimensions of architectural works. Hybrid Lecture (2H, 2C), Lab (12L, 4C), Design Lab/Studio (2L, 1C) (2H,14L,7C)"
ARCH 4014,- Architecture IV - Integrative Design,"Integration of site, program, constructive systems, and regulatory and environmental frameworks to develop conceptually sound and technically feasible architectural works. Application of design research, including precedent analysis and case studies of existing works. Advanced representation techniques including written, graphic, and physical artifacts. Criticism and dialogue. Individual growth in areas of ongoing interest, research, and modes of study in architectural practice. Repeatable one time, Max. 16 cr. Hybrid Lecture (2H, 2C), Lab (15L, 5C), Design Lab/Studio (2L, 1C) (2H, 17L, 8C)"
ARCH 4034,- Building Cities,"Analytical studies in the historical evolution of cities, towns and villages.  Comparative studies of urban form in relation to their constructive and imaginative means with an emphasis on modern construction processes.  Specific case studies in designing and building cities."
ARCH 4044,- Professional Practice in Architecture,"Role and responsibilities of the profession on the environment, public health, and social welfare. Professional ethics. Contributions to policymaking and the building enterprise through leadership, advocacy, and civic engagement. Issues of equity, diversity, and inclusion in the profession, the environments where we practice, and the places we design. Roles, responsibilities and viewpoints of the commissioning, design, and construction ensemble. Contracts, compliance, and risk management. Starting, running, and maintaining a profitable architecture practice to achieve design goals. Methods and technologies for delivering projects. Leadership and professional communication skills, including oral, written, and visual presentations, negotiations and conflict resolution, and interpersonal communication in collaborative teams, interviews, and public meetings. Pursuing licensing, specialization, and/or nontraditional career trajectories. Change and future practice forms."
ARCH 4055,- Environment and Building Systems,"A design oriented study of environmental forces, environmental impacts of the built environment, and related building environmental control, life safety and service systems, with concern for the human psycho-physical impacts of building form and systems performance."
ARCH 4056,- Environment and Building Systems,"A design oriented study of environmental forces, environmental impacts of the built environment, and related building environmental control, life safety and service systems, with concern for the human psycho-physical impacts of building form and systems performance."
ARCH 4075,- Building Structures,"Building structures in steel, timber, and reinforced concrete; design of typical components: beams, slabs, columns, beam-columns, connections, and foundations; design of retaining walls; the resistance of buildings to gravity and lateral force action; building stability; floor/roof framing systems; design of simple buildings."
ARCH 4076,- Building Structures,"Building structures in steel, timber, and reinforced concrete; design of typical components: beams, slabs, columns, beam-columns, connections, and foundations; design of retaining walls; the resistance of buildings to gravity and lateral force action; building stability; floor/roof framing systems; design of simple buildings."
ARCH 4114,"- Ideas, Concepts, and Representations of Architecture","Disciplinary study of ideas, concepts, and representations that have shaped architecture across time (Common Era). Emphasis on ideational constructs and their varied modes of transmission (from textual to oral communications, drawings to images, buildings to models) in relation to the projecting of architecture. Architectural theories and their transmission as cultural productions reflective of societal, ethical, intellectual, environmental, and technological contexts. Presentation and reflection upon architectural discourse itself through written and oral communication."
ARCH 4124,- Advanced Topics in Architecture History & Theory,"Advanced design theory, history, critique, study, and representation. How history, politics, technology, and economics affect architecture and the built environment. Architectural significance. Architectural social, economic, and cultural content. Direct observation, reading, and discourse in architectural criticism. Course may be repeated with different content 2 times for a maximum of 9 credit hours."
ARCH 4144,- Advanced Building Structures I,"Study of long-span building structures. Introduction to geometry, form, and structure of folded and bent surfaces. Study of space grid geometry, close-packing systems, and cellular tensegrity. Approximate design of folded plate structures, single and double curvature shells, single and double layer space frames, suspension roofs, tents, and pneumatic structures."
ARCH 4154,- Advanced Building Structures II,"Study of highrise structures ranging from building slabs and blocks, terraced buildings, and skyscrapers to towers. The complexity of load action including wind, earthquake, and hidden loads. The effect of building height, form, and proportion on force action; considerations of stability and redundancy. Preliminary design of masonry buildings, core structures, suspension buildings, braced skeletons, rigid frames, interstitial systems, staggered truss buildings, tubes and hybrid structures."
ARCH 4324,- Advanced Topics in Architectural Media and Methods,"Advanced topics in architectural media, materials, and processes as tools for analysis, documentation, and presentation of the designed environment. Relationship between media characteristics and processes, applied to a wide range of media types and areas of study. Selection of appropriate tools and workflows. Managing and maintaining toolsets and workspaces. Forms of design research and innovation. Iterative design and evaluating outcomes. Creative practice and discourse. May be repeated 1 time with different content for a maximum of 6 credit hours. Design Lab/Studio (1H, 3L, 3C)."
ARCH 4414,- Advanced Environment Building Systems,"Advanced studies of environment and building systems, including development in building systems, urban systems, service systems, construction systems, materials and component systems, psycho-physical considerations, systems analysis, and computer technology. May be repeated for a maximum of 9 credit hours in varied options offered."
ARCH 4424,- Advanced Topics in Architecture and Praxis,"Advanced topics in the practice of architecture related to designing, planning, and managing the built environment. Innovative knowledge, frameworks, and models for an increasingly just, adaptable, and built environment and profession. Alternative approaches to defining, creating, and value for clients, communities, and employees. May be repeated 1 time with different content for a maximum of 6 credit hours."
ARCH 4434,- Architectural Lighting Design,"Advanced level lecture course focused on lighting. Impact on, need for and measurement of light for humans and the built and natural environments. Selection of color, light sources, equipment and controls. daylight integration. Lighting design, visualization and calculations through hand and digital methods. Evaluation of lighting system energy efficiency and cost. Presentation of lighting design."
ARCH 4514,- Thesis Inquiry,"Student-led, design thesis project research articulated by an aggregated, reflective record of the first semester design work ofARCH 4515-4516 (Architecture V) through an appropriate array of representational means, such as writing, models, images, and drawings. Schematic, critical compilation of ideational and physical process includes critique, evaluation, and presentation of historical, contextual, professional, ethical, and aesthetic considerations; conceptual and theoretical foundations; development of the project’s parameters and its design. Course contact to credit hour structure: Lecture (1H, 1C), Lab (3L, 1C), Design Lab/Studio (1.5L, 1C)."
ARCH 4515,- Architecture V,"Advanced design and research to produce an architectural project. Demonstration of a conceptual and professional position through a work of architecture. 4515: Student-led focus on identifying research field; probing professional interests; developing conceptual and project parameters; proposing and evaluating design through varied means of public dialogue, critique, and self-reflection. 4516: Emphasis on resolution of project, formal documentation and presentation of work, communication of conceptual position, and assertion of professional trajectory. Hybrid Lecture (1H,1C), Lab (12L, 4C), Design Lab/Studio (2L, 1C) (1H,14L,6C)"
ARCH 4516,- Architecture V,"Advanced design and research to produce an architectural project. Demonstration of a conceptual and professional position through a work of architecture. 4515: Student-led focus on identifying research field; probing professional interests; developing conceptual and project parameters; proposing and evaluating design through varied means of public dialogue, critique, and self-reflection. 4516: Emphasis on resolution of project, formal documentation and presentation of work, communication of conceptual position, and assertion of professional trajectory. Hybrid Lecture (1H,1C), Lab (12L, 4C), Design Lab/Studio (2L, 1C) (1H,14L,6C)"
ARCH 4524,- Thesis Documentation,"Formal documentation of the architectural design thesis, a terminal design project with a conceptual and professional position in the final, fifth year of the professional degree program. Thesis project, process, concept, research, and ethical position presented through drawings, images, and writings. Preparation of portfolio quality document demonstrating architectural ability within discipline and profession. Course contact to credit hour structure: Lecture (1H, 1C), Lab (3L, 1C), Design Lab/Studio (1.5L, 1C)."
ARCH 4705,- Qualifying Design Seminar,"Exploratory overview of selected theories and issues relevant to the design and use of the environment.  4705: Emphasis on history, human behavior, and environmental context as it relates to architecture.  4706: Presentation and discussion of the nature of principal construction materials in relation to building design.  Characteristics of primary structural materials: wood, steel, concrete, masonry; environmental control systems; supporting technologies.  Not for credit for majors holding a first professional degree in architecture."
ARCH 4706,- Qualifying Design Seminar,"Exploratory overview of selected theories and issues relevant to the design and use of the environment.  4705: Emphasis on history, human behavior, and environmental context as it relates to architecture.  4706: Presentation and discussion of the nature of principal construction materials in relation to building design.  Characteristics of primary structural materials: wood, steel, concrete, masonry; environmental control systems; supporting technologies.  Not for credit for majors holding a first professional degree in architecture."
ARCH 4715,- Qualifying Design Laboratory,"4715: Design laboratory in which student and faculty teams explore the nature of problems and potentials with which architecture is concerned, and experimentally develop methods and process through which existing contexts are transformed into new conditions.  4716: Provides introduction to basic concepts of building structures, materials, and enclosure systems, and appropriate site and climate responses.  Not for credit for majors holding a first professional degree in architecture."
ARCH 4716,- Qualifying Design Laboratory,"4715: Design laboratory in which student and faculty teams explore the nature of problems and potentials with which architecture is concerned, and experimentally develop methods and process through which existing contexts are transformed into new conditions.  4716: Provides introduction to basic concepts of building structures, materials, and enclosure systems, and appropriate site and climate responses.  Not for credit for majors holding a first professional degree in architecture."
ARCH 4904,- Professional Studies,No description available
ARCH 4954,- Study Abroad,No description available
ARCH 4964,- Field Study,No description available
ARCH 4974,- Independent Study,No description available
ARCH 4974H,- Independent Study,No description available
ARCH 4984,- Special Study,No description available
ARCH 4994,- Undergraduate Research,No description available
ARCH 4994H,- Undergraduate Research,No description available
AAD 1004,"- Exploring Architecture, Arts, and Design","First-Year Experience course for Explore AAD majors. Overview of the college and its degrees, majors and minors, and career opportunities available to CAUS graduates. Presents college and university resources and services that support student success. Introduces students to the basic principles of the research process by focusing on inquiry, problem-solving, and integration of ideas and experiences within the fields in the College of Architecture, Arts, and Design."
AAD 1204,- Thinking Globally,"Seminar for first-year students enrolled in Rhizome Living-Learning Community. Introduction to systems thinking. Simple and complex systems. Systems approach to sustainable development. International perspectives on, and goals for, sustainable development. Considers United Nations Sustainable Development Goals (SDGS), SDGs History, global progress towards SDGs and Criticisms of SDGs and United Nations. Exploration of Rhizome LLC yearly theme."
AAD 1214,- Acting Locally,"Course for first-year students enrolled in Rhizome Living-Learning Community. Project-based learning through student-client collaborations. Applies systems thinking concepts and United Nations Sustainable Development Goals. Introduces design thinking as a model for problem solving, including problem definition and iteration. Student presentations, proposal development, exhibition, client feedback and peer critiques."
AAD 1984,- Special Study,No description available
AAD 2974,- Independent Study,No description available
AAD 2984,- Special Study,No description available
AAD 3900,- Bridge Experience,"Application of academic knowledge and skills to in a work-based experience aligned with post-graduation goals using research-based learning processes. Satisfactory completion of work-based experience often in the form of internship, undergraduate research, co-op, or study abroad; self-evaluation; reflection; and showcase of learning. Pre: Departmental approval of 3900 plan."
AAD 3954,- Study Abroad,No description available
AAD 3974,- Independent Study,No description available
AAD 3984,- Special Study,No description available
AAD 3984L,- Special Study,No description available
AAD 3984M,- Special Study,No description available
AAD 4234,- Capstone Collaborations: Cross-Disciplinary Teams,"Collaborative cross-disciplinary research teams support discipline-specific capstones. Analyzes the interactive relationships between place, space, identity, and community in the United States and beyond. Engages in iterative research processes through reflective teamwork addressing complex problems in senior capstone projects. Synthesizes multiple, complex sources and creates coherent arguments including ethical analyses."
AAD 4954,- Study Abroad,No description available
AAD 5954,- Study Abroad,No description available
ART 1004,- Topics in Studio Art for Non-Majors,"Variable introductory topics on practice-based studio art, ranging from 2D, 3D and Digital Imaging concentrations. Multiple projects with emphasis on media specific creations using introductory studio practices, practice-based technical and conceptual knowledge to achieve expressive communication.  Analyze and critique creative works within historical and cultural context.  May be repeated with different topics, for a maximum of 12 credit hours. Course contact to credit hour structure: Lecture (1H,1C), Lab (3L,1C), Design Lab/Studio (2L,1C). COURSE FEE: $60."
ART 1104,- Language of Visual Arts,"Introduces key formal structures across the broad variety of disciplines in the visual arts and built environment, including: architecture, painting, sculpture, photography, and film.  Considers global objects and sites from an intercultural perspective, examining how various formal elements impact our experience and function to construct meaning for audiences.  Writing informed arts criticism grounded in local and regional cultural resources. RESOURCE CHARGE."
ART 1204,- Principles of 2D Art and Design,"Elements and methods fundamental to two-dimensional art and design. Investigates formal elements and principles of two-dimensional design including shape, color, balance, rhythm, hierarchy, and unity. Exploration of analog and digital strategies in image making through iterative, hands-on processes. Interpretation of historical and contemporary two-dimensional art and design from around the globe to discover communication strategies in an intercultural context. Application of formal analysis and interpretive strategies through critique. Lecture (1H,1C), Lab (3L,1C), Design Lab/Studio (2L,1C). RESOURCE CHARGE. (1H,5L,3C)"
ART 1214,- Principles of 3D Art and Design,"Elements and methods fundamental to three-dimensional art and design. Investigates formal elements and principles of three-dimensional design including line, plane, form, mass, space, scale and surface. Exploration of analog and digital strategies in three-dimensional object making through iterative, hands-on processes. Interpretation of historical and contemporary three-dimensional art and design from around the globe to discover communication strategies in an intercultural context. Application of formal analysis and interpretive strategies through critique. Lecture (1H,1C), Lab (3L,1C), Design Lab/Studio (2L,1C). RESOURCE CHARGE. (1H,5L,3C)"
ART 1234,- Topics in Visual Communication Design for Non-Majors,"Variable introductory topics on visual communication design, ranging from contemporary issues in design to development of formal design skills.  Multiple projects with emphasis on problem-solving with an awareness of target audiences from various backgrounds, historical and cultural contexts, and STEEP (Social, Technological, Economical, Environmental, and Political) principles.  Explores knowledge of design principles and vocabulary using a range of materials and methodologies.  Examines needs of diverse users, applied via digital translations and appropriate software.  May be repeated for up to a maximum of 12 credit hours with varying or different topics.  Course contact to credit hour structure: Lecture (1H,1C), Lab (3L,1C), Design Lab/Studio (2L,1C)."
ART 1304,- Gateway to Art and Design,First Year Experience course for students seeking entry into BFA degree program.  Developing a successful path of study in the School of Visual Arts BFA degree using advising resources; introduction to professional and ethical visual arts practices through presentations with local and regional artists; visits to local and regional galleries; presentations by university faculty and staff related to the BFA.  Introduction to visual thinking using the Virginia Tech Common Book and preparation for portfolio review. Art History majors are not required to take the course.
ART 1334,- Themes in Visual Arts and Cultures,"Introduction to thematic topics spanning historical and contemporary world cultures through the lens of the visual arts and material culture. Ten themes to be addressed each semester, each approached through a range of different periods, cultures, media, and artistic traditions, and complemented by culture-specific textual sources. Sample themes might include art and political propaganda, art and technology, art and sustainability, art and death, etc. Does not count towards the art history major."
ART 1404,- Principles of Drawing,"Elements, methods and skills fundamental to drawing. Investigates formal elements fundamental to drawing such as line, space, form, value and texture, through drawing tools and methods. Emphasis on controlled use of common drawing media for representational and expressive purposes. Examination of multiple intercultural viewpoints through exercises and discussion investigating topics that vary by semester. Application of formal analysis and interpretive strategies through critique. Lecture (1H,1C), Lab (3L,1C), Design Lab/Studio (2L,1C). RESOURCE CHARGE. (1H,5L,3C)"
ART 1414,- Drawing II:  Life Drawing,"Drawing the human figure from life.  Emphasis on observation, construction, and anatomy. Course contact to credit hour structure: Lecture (1H,1C), Lab (3L,1C), Design Lab/Studio (2L,1C). RESOURCE CHARGE."
ART 1504,- Contemporary Art and Practice,"Methods and practices fundamental to the making of contemporary visual art. Non-discipline-specific investigation of self-expression, meaning, and content through iterative, practice-based exercises. Development of personal artistic practice through the lens of contemporary art and its historical precedents. Exploration of various processes such as representation, abstraction, assemblage, performance, installation, mark making, digital, and time-based, or interactive experiences as means to self-expression and interpretation of meaning. Examination of multiple worldviews and global challenges addressed in contemporary art. Lecture (1H,1C), Lab (3L,1C), Design Lab/Studio (2L,1C). (1H, 5L, 3C)"
ART 1604,- Principles of 4D Art & Design,"Elements and methods fundamental to digital art and design as well as time-based media. Investigation of formal elements specific to four-dimensional design including time, motion, and sound and skills sets in vector and raster graphics and video editing. Exploration of iterative process in digital image making. Interpretation of historical and contemporary digital art and time-based media from around the globe to discover communication strategies in an intercultural context. Examination of multiple worldviews and global challenges addressed in and relevant to digital art and time-based media such as surveillance and questions of privacy. Application of formal analysis and interpretive strategies through critique. Lecture (1H,1C), Lab (3L,1C), Design Lab/Studio (2L,1C). RESOURCE CHARGE. (1H, 5L, 3C)"
ART 1614,- Principles of Visual Communication Design,"Introduction to design theory, practice, and visual communication skills. Projects, applied problem solving, reading assignments, and open critiques incorporate graphic competencies and vocabulary specific to the field of visual communication design. Course contact to credit hour structure: Lecture (1H,1C), Lab (3L,1C), Design Lab/Studio (2L,1C)."
ART 1984,- Special Study,No description available
ART 1984M,- Special Study,No description available
ART 2385,- Survey of the History of Western Art,"Survey of the visual arts and architecture from prehistoric times to the present day with emphasis on Western Europe including functions of visual arts and architecture, terms of visual literacy and methods of formal visual analysis. 2385: Focus on prehistoric time to the thirteenth century including Paleolithic, Neolithic, Ancient Near Eastern, Egyptian, Aegean, Greek, Roman, Byzantine, medieval and early Gothic art.  2386: Focus on late Gothic through present day including Renaissance, Baroque, 19th (Romanticism to Post-Impressionism) and 20th centuries (cubism to postmodernism)."
ART 2386,- Survey of the History of Western Art,"Survey of the visual arts and architecture from prehistoric times to the present day with emphasis on Western Europe including functions of visual arts and architecture, terms of visual literacy and methods of formal visual analysis. 2385: Focus on prehistoric time to the thirteenth century including Paleolithic, Neolithic, Ancient Near Eastern, Egyptian, Aegean, Greek, Roman, Byzantine, medieval and early Gothic art.  2386: Focus on late Gothic through present day including Renaissance, Baroque, 19th (Romanticism to Post-Impressionism) and 20th centuries (cubism to postmodernism)."
ART 2434,- Introduction to Creative Code,"Introduction to computer programming tools within a critical aesthetic context. Tools may include software such as Processing and Unity. Application of foundational programming techniques to artwork creation. Consideration of computational and quantitative technologies and processes ethically, culturally, and artistically. Algorithmic thinking, and examination of existing computer-generated artworks to infer algorithmic basis. Consideration of the ethics of algorithmic systems in our culture and media. Course contact to credit hour structure: Design Lab/Studio."
ART 2514,- Drawing Concepts,"Exploration of drawing practices that reflect expansions in the discipline through examination of the work of contemporary artists and discussion of recent historical precedents. Examination of multiple viewpoints through readings and discussion investigating notions of identity, culture, and social reality. Development of personalized visual language and content through iterative drawing processes. Application of formal analysis and interpretive strategies through critique. Includes traditional and experimental techniques; representational, abstract, and nonobjective approaches to drawing. Course contact to credit hour structure: Lecture (1H,1C), Lab (3L,1C), Design Lab Studio (2L,1C). RESOURCE CHARGE."
ART 2524,- Introduction To Painting,"Exploration of painting practices within a studio-focused environment as they relate to art and design in contemporary culture as well as historical methods. Development of foundational painting skills and an understanding of various painting media. Deliberate practice of visual language and formal ideas using painting media with a focus on material, line, shape, color, and two-dimensional composition. Interpretation of visual culture through the application of critical analysis methods. Encompasses observation-based techniques, experimental processes, and abstract approaches. Lecture (1H,1C), Lab (3L, 1C), Design Lab/Studio (2L, 1C). (1H, 5L, 3C). RESOURCE CHARGE: $75"
ART 2554,- Introduction To Sculpture,"Introduction to the tools, techniques, and concepts of sculpture. Development of visual style, three-dimensional composition and communication through iterative assignments. Application of formal analysis and interpretive strategies through critique. Exploration of genres and practices of sculpture by analyzing contemporary examples and historical precedents. Examination of diverse viewpoints through readings and discussions on the role of sculpture in identity, culture, and politics. Course contact to credit hour structure: Lecture (1H,1C), Lab (3L, 1C), Design Lab/Studio (2L, 1C). (1H, 5L, 3C). RESOURCE CHARGE."
ART 2565,- Typography,"Foundational study of Typography as it relates to Visual Communication Design including historical and contemporary context. Study of the formal principles of typographic design of both printed and digital matter. Overall focus on letterforms, design structures, and grid systems. Pre: Admittance to Visual Communication Design Program. 2566: Intermediate study of Typography as it relates to Visual Communication Design including advanced file management used with a variety of projects involving Typographic Composition. Pre: 2565. 2565: I, II.  Course contact to credit hour structure: Lecture (1H,1C), Lab (3L,1C), Design Lab/Studio (2L,1C)."
ART 2566,- Typography,"Intermediate study of Typography as it relates to Visual Communication Design including advanced file management used with a variety of projects involving Typographic Composition. Course contact to credit hour structure: Lecture (1H,1C), Lab (3L,1C), Design Lab/Studio (2L,1C)."
ART 2566H,- Typography,Intermediate study of Typography as it relates to Visual Communication Design including advanced file management used with a variety of projects involving Typographic Composition.
ART 2575,- Introduction to Graphic Design,"Introduction to the theory and practice of graphic design as a means of visual communication, exploring problem-solving as applied to design concepts and execution.  Studio assignments relating to society, industry, community, and commerce, with emphasis on digital/electronic applications. Course contact to credit hour structure: Lecture (1H,1C), Lab (3L,1C), Design Lab/Studio (2L,1C). RESOURCE CHARGE."
ART 2576,- Introduction to Graphic Design,"Introduction to the theory and practice of graphic design as a means of visual communication, exploring problem-solving as applied to design concepts and execution.  Studio assignments relating to society, industry, community, and commerce, with emphasis on digital/electronic applications. Course contact to credit hour structure: Lecture (1H,1C), Lab (3L,1C), Design Lab/Studio (2L,1C). RESOURCE CHARGE."
ART 2604,- Introduction to Creative Technologies,"Introduction to the formal elements, skills, tools and methods of productions used in Creative Technologies to make art/media works. These art works/media works include: sound, video narratives/short films, 2D animation, code/procedural artworks that exhibit meaning and relevance to contemporary society. Integrate, articulate and defend positions on ethical issues to make work that is relevant to the world we live in. Design Lab/Studio."
ART 2664,- Introduction to Photography,"Introduction to the tools, techniques, and concepts of digital photography. Development of visual style, two-dimensional composition, and visual communication through iterative assignments. Application of formal analysis and intercultural interpretation of photographs through class critique as well as historical and contemporary examples. Examination of diverse viewpoints through readings and discussions on the role of photography in identity, culture, and politics. Course contact hour structure: Lecture (1H,1C), Lab (3L, 1C), Design Lab/Studio (2L, 1C). (1H, 5L, 3C). RESOURCE CHARGE."
ART 2704,- 3D Computer Animation,"ntroduction to the basic principles of 3d-computer animation including modeling, texture mapping, lighting, and motion. Course contact to credit hour structure: Design Lab/Studio (5L, 3C) RESOURCE CHARGE."
ART 2964,- Field Study,No description available
ART 2974,- Independent Study,No description available
ART 2984,- Special Study,No description available
ART 3004,- Topics in Art History,"Rotating topics from all periods of art history with a particular emphasis on non-Western art, such as Japanese, Chinese, pre-Columbian, sub-Saharan, Native American, or Islamic art and architecture.  Lecture and/or undergraduate seminar format.  May be repeated for credit with different content for a maximum of 9 credits."
ART 3024,- History of Global Print Culture,"Global print culture with an emphasis on visual arts and design forms across geographies in cultural contexts. Compares diverse print cultures from their inceptions through today, across historical traditions of East Asia, Mexico, United States, the Islamic world, and Europe. History, social meaning, issues of equity, race, and identity. Print culture’s inception through today connects contemporary digital world to its conceptual and material origins."
ART 3034,- Survey of Latin American Art and Architecture,"A broad chronological survey of the visual arts and architecture of Latin America with a focus on South, Central, and North America from the rise of ancient indigenous cultures through today. Pre-Columbian iconography, styles, and cultural contexts of Olmec, Inca, Maya, and Aztec societies. European contact and colonial influence in South and Central Americas of the New World. Modern and contemporary art in these regions, with an emphasis on Latinx diaspora visual culture in the United States."
ART 3044,- Art and Architecture of India,"Survey of the arts, architecture, and contributions to design history from the subcontinent of India. Iconography and visual elements of Jain, Hindu, Buddhist, Islamic, and Sikh traditions in terms of key works of art, architecture, and design. Interpreted within contexts of religion, historical events, social status, patronage, race, and colonialism. Considers the influence of India’s art, architecture, and design histories from antiquity through diasporas today, including US South Asian communities."
