name,description
Japanese Cultural Association,"The purpose of Japanese Cultural Association will be to promote the awareness and interest of the Japanese culture, its people, and its community, as well as enhancing and furthering pluralism and diversity. Our goal is also to make Virginia Tech community a place where every member is respected, understood, and has every opportunity to grow, to make Virginia Tech a place where broad inclusiveness is the rule – not the exception. It will also promote Japanese/Asian Unity in addition to addressing the problems and concerns of the Japanese/Asian Community to the Administration and other student organizations here at Virginia Tech."
Japanese Media Club,"Each week the club gets together to watch and discuss anime, all you have to do to join is show up. Information about meetings can be found in our discord server. https://discord.gg/wxc6dvSxZQ."
Jashn at Virginia Tech,"Jashn is a cultural organization that aims to promote and celebrate Indian festivals and cultures that are not yet recognized at Virginia Tech. As a student-led organization, our mission is to create a deeper understanding and appreciation of India's diverse cultural heritage through festival experiences. We strive to create a welcoming space where all students—regardless of their background—can participate in and learn about the rich traditions, stories, and customs that each festival represents. By doing so, Jashn seeks to promote cultural exchange and build a more inclusive campus environment. Jashn’s activities will be designed to make it both educational and enjoyable. Through workshops, presentations, and festival events, students will get to engage directly with various aspects of Indian culture, such as traditional music, dance, food, and art. It’s about bringing a unique piece of Indian culture to Virginia Tech under one organization, making the campus a more diverse, inclusive, and interesting place to learn and grow."
Jewish Student Union of Virginia Tech,"The Jewish Student Union (JSU) aims to serve and support Jewish students and organizations such as Hillel, Chabad, Hokies for Israel, Peer Network Engagement Interns, Alpha Epsilon Pi Fraternity, and Zeta Beta Tau Fraternity, while providing external programming to educate the at-large Virginia Tech community on Judaism, our values, and our culture as we seek to end anti-semitism and advocate for all people. We are committed to an inclusive and pluralistic vision for our community."
Johnson Hall Community,"Johnson Hall is an all-female-identifying hall that allows residents to foster close-knit relationships and build a strong community.  In our building, you will find that our kitchen and restrooms are newly renovated. For those eager to try our top dining, we are located next to Hokie Grill which houses Chick - Fil - A and Dunkin’ Donuts. Come join us in Johnson! "
Jordanian Student Association,The Jordanian student association's goal is to unite Jordanian students and allow non-Jordanian students to learn more about Jordanian culture. This will foster a support network for all Jordanian students and promotes Jordanian culture through social and community event.
Jugger at Virginia Tech,"Jugger at Virginia Tech is an organization for introducing the niche, co-ed sport of Jugger to Virginia Tech. Games are short, high action, and fast-paced, requiring the use of teamwork and strategy. Teams of 5 face off on a small field in an attempt to get the ball to the opposing team's goal. Only one person on each team can touch the ball, the Qwik, while the other 4 players support their qwik through the use of foam-padded weapons. No prior experience is required or expected, all are welcome. Feel free to join us on the Drill Field any Sunday at noon to try it out!"
Juggling and Flow Arts Club,Juggling is daunting -- we're here to help!
Junoon,Junoon is Virginia Tech’s premiere award-winning competitive fusion dance team. Junoon exhibits a modern perspective on Indian traditions fused with popular American dance styles. Junoon performs all year round at various cultural and community events and competitions nationwide.
Juxtaposition,"Juxtaposition is a student-run a cappella group with broad goals of performance throughout the Virginia Tech community. Our group defines our sound through a multitude of unique arrangements of contemporary hits all the way back to the '60s. We passionately pursue live performance opportunities, while also focusing much of our efforts towards recording albums of our newest material."
Kaizen Technology Club,"Mission Statement - ""Our mission is to educate and engage the college community on the impact and potential of emerging technologies, fostering discussions and ideas on how to integrate them into our everyday lives for a better future."""
Kala,"  In the twenty first century, art, while being ever more accessible, is evolving rapidly. In this tumult of globalized styles and artistics aesthetics, we at Kala (pronounced Kalā, a Sanskrit word meaning performing arts) would like to build a diverse community of music enthusiasts to promote and showcase musical talent of  South Asian origin as well as Western Music. With the goal of building a community around appreciating and performing both South Asian and Western art forms, we hope to also provide a stage to touring artists from India. To this end, we are partnering with SPIC-MACAY, a cultural organization that facilitates the global exposure of Indian artists around the world. We will also be organizing various events to introduce the theory of Indian classical music (the Hindustani and Carnatic forms) with the primary focus of contrasting them with Western classical music and theory. We welcome you to the vibrant world of Kala, the Arts from India!"
Kappa Alpha Order,Why Join KA?
"Kappa Alpha Psi Fraternity, Incorporated","Kappa Alpha Psi Fraternity, Incorporated was founded on the night of January 5th, 1911 in Bloomington, Indiana at Indiana University. It was initially chartered and incorporated as Kappa Alpha Nu on May 15, 1911 making it the first NPHC organization to be incorporated. The name was later changed to Kappa Alpha Psi on April 15, 1915 by a proclamation by the Grand Polemarch, Elder Watson Diggs. Thus making Kappa Alpha Psi a Greek letter organization in every sense of the designation."
Kappa Alpha Theta,"Kappa Alpha Theta is a member of the Panhellenic Community at Virginia Tech. Our chapter enjoys participating in other organization's philanthropies, supporting our own philanthropy CASA, focusing on our academics and growing our sisterhood."
Kappa Delta,"Kappa Delta Sorority is committed to providing opportunities and experiences that build confidence and inspire women to action. With more than 250,000 members, Kappa Delta offers lifelong support for leadership development, personal growth, academic success and community service, all in the context of true friendship."
Kappa Kappa Gamma,"Kappa Kappa Gamma is an organization of women, which seeks for every member throughout her life bonds of friendship, mutual support, opportunities for self-growth, respect for intellectual development, and an understanding of and an allegiance to positive ethical principles."
Kappa Pi - International Art Honor Society,"The Kappa Pi International Art Honor Society promotes artistic excellence at the collegiate level and beyond. Our mission is to develop creativity and professional artistic skills, serve the Virginia Tech and Blacksburg communities through artistic expression, promote brotherhood and support between artists, and further the traditions of artistic practice. Here at Virginia Tech, we fulfill that mission and develop the artistic culture of Blacksburg through artistic skills workshops, informal critiques, engaging service projects, and fun social events! If you're interested in learning more about what we do, reach out to us through email or check out our Instagram!"
Kendo Club at Virginia Tech,"The Kendo Club at Virginia Tech trains in the Japanese Martial Art of Kendo, ""The Way of the Sword"". Members are not required to have prior experience or their own personal kendo equipment. Due to the renovation of War Memorial Hall, the club meets at the Recreation Fieldhouse every Sunday from 5 pm to 7 pm, and on Fridays from 6 pm to 8 pm."
Kidney Disease Screening and Awareness Program at Virginia Tech,"For more information, visit: https://kdsapvt.wixsite.com/kdsapvt"
Kids Can Write Club At Virginia Tech,"Kids Can Write aims to volunteer at local Blacksburg schools with the goal of mentoring and helping kids with a creative idea for a story by motivating them to finish a short book, editing it, creating a cover, and walking them through the process of self-publishing through Kindle Direct Publishing online! They'll be able to order their own physical copies of their books and choose whether or not they want to sell them through large businesses, such as Amazon, Barnes & Noble, and more!"
Kodokan Aikido,"Aikido is known as the art of peace, and students of Aikido work to achieve physical and mental balance through meditation, individual exercises and partner practice. We welcome all fitness levels. Aikido is practiced all over the country and the world. Our club observes the traditional forms of practice and Japanese etiquette. Members can have their skills evaluated through our parent dojo - Kodokan Aikido based in Okazaki, Japan. This allows members of our club to join the international organization (Aikikai Foundation) and transfer membership after graduation."
Korean Student Association,What is KSA?
Korean-American Scientists and Engineers Association (KSEA) - Southern VA chapter,The organization objectives are to
"La Unidad Latina, Lambda Upsilon Lambda Fraternity, Incorporated","La Unidad Latina, Lambda Upsilon Lambda Fraternity, Inc. primarily seeks to take a leadership role in meeting the needs of the Latino community through academic achievement, cultural awareness, community service, and promotion of the Latino Culture."
Lambda Chi Alpha,"""At Lambda Chi Alpha, our mission is simple. We inspire and equip men to lead an ethical life of growth, service and leadership. Lambda Chi Alpha envisions a world where the ideal man pursues a life of respect and inclusion for all. A world where we support and encourage one another. And a world where every Brother models and embraces our values: loyalty, duty, respect, service and stewardship, honor, integrity and personal courage."""
Lambda Iota Mu,"Lambda Iota Mu is a gender inclusive conservation service fraternity that works with the community to support our local ecosystems and educate the public. We have members from every college at Virginia Tech. Together we work on a variety of short and long term service projects, including community gardening, campus trash pickups, wetland restorations, trail maintenance, STEM outreach, and more! As long as you are passionate about conservation, we encourage you to rush! All prospective members are required to participate in a formal recruitment process, which takes place early in Spring Semester. Feel free to check out our Instagram or send us an email if you are curious about who we are!"
Lambda Phi Epsilon,"Lambda Phi Epsilon was founded on February 25, 1981 by a group of nineteen dedicated men led by principal founder Mr. Craig Ishigo. Hoping to transcend the traditional boundaries of national origins, the founders aimed to create an organization that would set new standards of excellence within the Asian American community, develop leaders within each of the member’s respective community, and bridge the gaps between those communities."
Laser Tag Club at Virginia Tech,"The Laser Tag Club at Virginia Tech (LCAT) is devoted to playing laser tag. Playing is free though if you play regularly, occasional AA Energizer battery donations are appreciated. Guests are always welcome and the LCAT will provide all equipment. We play in a wooded area adjacent to the main parking lot at Pandapas pond and occasionally make field trips to other locations (usually within 1 or 2 hours of Blacksburg)."
Latin American and Iberian Graduate Students Association,"LAIGSA is an organization of graduate students at Virginia Tech. Its mission is the diffusion of Latin American and Iberian culture by promoting cultural and recreational activities, cultural exchange, and mutual support. It is also the meeting point for the Latin American and Iberian graduate students attending VT. The benefit to the Virginia Tech community is the awareness this association raises about the Latin American and Iberian Culture. It also helps Latin American and Iberian graduate students at Virginia Tech meet and share their experiences. The members of LAIGSA are mostly students, parents, and kids from Latin America and the Iberian peninsula, which allows not only for cultural but also inter-generational exchange."
Latin Link,"Latin Link was founded in 2001 and is the largest social LatinX organization at Virginia Tech. We promote Hispanic heritage through cultural, educational and social activities while uniting students and faculty of all backgrounds."
Latino Association of Student Organizations,The Latino Association of Student Organizations is the umbrella organization encompassing all the Latinx student organizations at Virginia Tech.
"Latinx Veterinary Medicine Association, VMCVM Chapter","LVMA is a student chapter of Latinx Veterinary Medical Association whose mission is to empower Latinx/Hispanic professionals in veterinary medicine and support the next generation of Latinx/Hispanic veterinarians. Our student chapter's goal is to create a familia within VMCVM that is inclusive to Latinx students but also includes allies that would love to celebrate our culture and accomplishments with us! We believe professional development, outreach, mentorship, and scholarship are essential in creating a space for Latinx professionals and clients within the veterinary medicine community."
Latter-Day Saints Student Association,"We are an organization focused on learning about Christ, His Atonement, and His teachings. We have in-person classes Tuesday at 7 pm. Also, online Zoom classes on Wednesdays at 7 pm where we study and learn together from the scriptures, especially to deepen our faith and understanding of our Savior Jesus Christ. Class is led by a teacher but is also an open discussion. Normally, we have fun games and activities Monday nights at 7 pm.  Every semester we strive to participate in multiple service activities. "
Leadership and Social Change Residential College,"In our community, there are multiple opportunities to get involved including traditions, college council, and Lead 17! "
League of Legends Club,"Discord
^Majority of Communication/Event Announcements will be through Discord
Linktree

Community Involvement:
The League of Legends club serves as a hub for all things related to League of Legends as well as a space for people to socialize and make friends. Throughout the year, we host a multitude of League of Legends-based events such as weekly 10 mans (with every other one being in-person), but we also host other non-league related events such as Game Night, Cascades Hike, and D2 Runs. In addition to these events, we will also host things such as TFT, Arena, and Summoner's Rift Tourney commonly known as Gobbler Gauntlet(GG)

Membership Costs:
To keep the club running and pay for events, we have semester dues of $6 or a yearly due cost of $10. Freshmen and Transfers do not have to pay for dues their first semester here so they can experience all our events listed below.

Events that happen throughout the year:
Monthly Meetings(Pizza + Customs)
Weekly 10-man Customs/In-houses
Gobbler Gauntlet
Cascades Hikes
D2 Runs
Board Game Nights
Study Nights
5v5 ARAM Tournament Arena/TFT Tournaments

What is Gobbler Gauntlet?
Gobbler Gauntlet or GG, is a VT - Community tournament held over the course of the semester where captains will draft teams of 5 to compete on Summoner's Rift with the hopes of winning prizes such as RP or cash. This is a FOR FUN tournament based around meeting new people and getting to know the community better. People of all skill levels are accepted so anybody who wants to play is encouraged to join."
LEGO User Group at Virginia Tech,"LEGO User Group at Virginia Tech (VTLUG) is a community of LEGO fans of VT and surrounding areas. Our main task is to gather local Lego player resources, expand the building culture of local building blocks and improve the overall level by holding different forms of projects. Although we do not have a lot of resources and members like other organizations, we believe that creation is not limited by resources, but the enthusiasm in our hearts and creativity in our brains."
Life Sciences Club at Virginia Tech,"We are an organization that hosts professional and social events for students in any life science related majors. We encourage students to explore professional opportunities post-college and create events to connect life sciences students with each other. Examples of our events include: Guest Speakers, Resume building, Grad-School Prep, Social Events, Career Planning Events, and Study Groups. Attendance to events is not enforced."
Lightsaber Club at Virginia Tech,"We are a club based around learning how to design and build lightsabers through art and engineering! Our sabers are 3D printed and metal with various levels of electronics. We are also a Star Wars fan club, obviously. Our meetings include workshops, discussion, and design. We use techniques such as CAD, 3D Printing, spray-painting, and soldering to create lightsabers!"
Linking Lives: Creating Sustainable Social Change,"The club holds monthly info sessions for both Fall and Spring Lugano programs for students to learn more about the study abroad and service learning experiences. The club also hosts fundraisers and works on grant projects to help support our partner schools and nonprofits/NGOs in Rwanda, Africa.  "
Linux and Unix Users Group at Virginia Tech,"The Linux and Unix Users Group at Virginia Tech (VTLUUG or ""the LUUG"") is dedicated to improving the computing skills of its members, supporting Linux and Unix use on campus, and serving the community through Free Software and open data. You can find more info on our website, https://vtluug.org. Important: We don't use the GobblerConnect roster for emails---please find our mailing lists at our group's website to make your member request more meaningful!"
Living-Learning Communities,"Members of this site include any faculty, staff, and students dedicated to living-learning communities (LLCs) at Virginia Tech.  All members should share photos, ideas, accomplishments, events, and any other LLC-related items they wish to share."
Love Of God Our Strength,"LOGOS is composed of the Virginia Tech students and people from Blacksburg community, with the majority of the Korean speakers, that share life together in Christ. We have a regular meeting on Fridays for the worship of God and a variety of activities. Our desire is loving God and loving neighbors. We expect to God to heal, transform, and use us to influence our community with his love."
Lutheran Campus Ministry,"Through God's love and grace, we invite all persons, regardless of gender, race, sexual identity and orientation, political views, and religious affiliation to join us in fellowship with each other. Our intention is to meet weekly over a meal followed by hanging out as a community through games, paint night, presentations, and more. We also have a weekly Bible Study where we encourage you all to come as you are and participate in conversation over God's word.  During this time of COVID, we have limited ourselves to weekly meetings and bible studies over zoom, but are still exploring ways to enjoy each other's company outdoors, masked, and socially distanced. We invite you to join us in community and the love of Christ! "
Lutheran Outreach at Virginia Tech,We meet in War Memorial Chapel on Sundays at 2:30pm for Bible study and 3:30pm for Divine Service. Several other Bible studies are conducted throughout the week; contact us for more information!
Magic: The Gathering Club at Virginia Tech,"The Magic: the Gathering Club at Virginia Tech is designed as a safe space to assist both new players and veterans who are interested in playing Magic: the Gathering, as well as a community for players to find a home within. We run a variety of events throughout the school year, and can also direct you towards players and events for whatever format you are interested in."
Malaysian Student Association,The Malaysian Student Assocation (MASA) is an organization at Virginia Tech that aims to connect and gather Malaysian students or those interested in Malaysian culture.
Management Society,"The Management Society provides great educational, social, and networking opportunities; from Marketing to Finance, Engineering to Service professions, EVERYONE will practice management at some point in their careers."
Mantra Meditation at Virginia Tech,"We have all heard of meditation, but how long can we make the effects of any kind of meditation last in our lives? Comes to the rescue is an ancient yet simple kind of meditation known as manta meditation!"
MarioKart Club at Virginia Tech,"This club is for people of any kind to come and play MarioKart together! We are strictly casual here, so no time trials, and you are not required to bring anything (although if you DO have anything to bring, it wouldn't hurt, so feel free!). This way, you can come and play regardless of your skill or access to controllers or setups. You are only required to bring yourself, and friend if you can, and prepare for high-speed fun!"
"Mastering GREs, Shaping CVs, Gaining Success",Objectives:
Materials Engineering Professional Society,MEPS stands for Materials Engineering Professional Society; it is an organization for both undergraduates and graduates.  MEPS gives students a unique experience that many other departments do not offer.  Some of these experiences include:
Math Club,"We are an academic group focused on problem solving in a wide range of areas from economics, physics, biology, etc. using ideas from math. Although this sounds intimidating we welcome those with any amount of math experience for we structure our meetings to build from the ground up, so everyone from every background can learn something. Pizza and soda is provided at the start of each meeting, where we usually have speakers talk about their field of interest. For the math focused individuals, we will also be preparing for and attending some collegiate math competitions. If you are interested in joining or simply looking around, we primarily use Discord to communicate, which can be found below:
https://discord.gg/Xf3PdJ7aav

This semester we will be attempting email communications, so make sure to apply to the organization to receive notifications!

Meeting dates and times can be found on our website below!"
Mathematics Graduate Student Organization,"The Mathematics GSO primarily serves to
1. Advocate on behalf of mathematics graduate students at Virginia Tech,
2. Serve as a liaison between students and department faculty/administration,
3. Promote well-being and community among the student body."
Maybe Calisthenics,"Calisthenics is, in its simplest form, bodyweight exercise. It can be as simple as you want it, whether your goal is to do 1 push up or 50, we are happy to help your or just be there alongside you."
Mechanical Engineering Graduate Student Council,This organization exists to fulfill two purposes: To increase and strengthen the community within the Mechanical Engineering graduate students through social and academic events and to provide a representative body that will serve as an intermediary between the students and the department administration.
Medicine and Society Club at Virginia Tech,"Medicine and Society Club at Virginia Tech aims to raise awareness about the social determinants of health and provide opportunities to reduce health inequity. We offer many opportunities for engagement with the Blacksburg and Virginia Tech communities through many service projects, seminars, and social events. This club has a little something for everyone and we welcome anyone who would like to be a part of our group! "
Men's Club Basketball at Virginia Tech,"We are a competitive club basketball team. As a roster of roughly 25 students (selective membership through tryouts), we participate in various club basketball tournaments throughout the year. These tournaments are mostly in states along the east coast. Over the past few years, tournament locations have included JMU, UMD, NC State, University of Delaware, UNC, etc. We also occasionally play against postgraduate and basketball prep schools in the Hahn Hurst Basketball Practice Center. Opponents we have played against include Hargrave Military Academy, Fishburne Military Academy, Davidson Community College, and Charis Prep School. Many of these teams have players that contain future NCAA Division I, II, and III players. We will also be doing fundraisers to raise money for the season and may occasionally have social events with other club teams or sororities here at Virginia Tech. For clarification, we are a Registered Student Organization (RSO) under Virginia Tech. An RSO is defined as “a voluntary association of Virginia Tech students that has no direct relationship to the university but upon completion of registration documents are entitled to certain privileges to include operating, meeting, advertising, and participating in activities on the Virginia Tech campus.” This means that we are not a “VT Sports Club”, also classified as a University Student Life Program (USLP), meaning that we are not under the Department of Virginia Tech Recreational Sports. We are not entitled to get funding from the Department of Sport Clubs, and therefore, we must budget and manage ourselves appropriately without their help and request funding from the RSO Budget Board. However, despite not being an official Club Sport, we are a fully functional and competitive club basketball team playing against other university club teams. "
Meraki,
Meteorology Club at Virginia Tech,"The Blue Ridge Chapter of the AMS and NWA is designed to help students interested in the field of meteorology. Whether it be from a career or hobby standpoint, if you like weather, join us! "
Microbiology Club at Virginia Tech,"We are an academic student organization that focuses on Microbiology. We are open to all Virginia Tech students regardless of major. We provide members with information on how to obtain undergraduate research, jobs, and internship opportunities. Guest speakers are invited to come to our meetings to help our members learn about the wide range of topics in Microbiology and how to get involved. We also do Microbiology-related outreach on and off campus. Many of these events are close to campus and help teach those about the importance of Microbiology. "
Middle Eastern North African Student Association,"The purpose of the Middle Eastern North African Student Association at Virginia Tech is to celebrate and infuse the knowledge of arab and north african culture, history, language and customs to circulate pride and patriotism in members of MENA descent and create a greater understanding of the culture among students, employees, and community members at Virginia Tech, regardless of their backgrounds. We aim to raise awareness, hold charity events to assist with humanitarian aid, and partner with donation programs pertinent to the Arab and Middle Eastern world and Arab/Middle Eastern Americans today."
Miles Hall Community,"Miles is an all-male identifying dorm located on the far corner on Washington and Kent Street and oversees the President’s Quad. Miles has a strong sense of community and often is quieter because of its location and respectful community. Miles has a newly renovated kitchen, laundry room, and gender inclusive restroom. Miles community is a safe space for any person and represents many different identities. Miles has a record of fun programs that vary from free food, games, outside activities, and is catered to the community that resides in the building.  "
Minorities in Agriculture Natural Resources and Related Sciences,"Minorities in Agriculture, Natural Resources, and Related Sciences (MANRRS) at Virginia Tech is a part of the national MANNRS organization. We are dedicated to inclusion, achievement, and advancement of ALL people in the agricultural, natural resource, and related sciences. Our main goal is to promote professional growth and leadership skills in these sectors while providing a safe atmosphere to learn and connect.  "
Minorities in Pre-Vet,"The goal of MPV is to provide a space for minorities interested in a career in veterinary medicine to feel seen and heard. The lack of diversity among pre-veterinary students at Virginia Tech can make entry into this field of study feel hostile. We seek to uplift anyone who identifies as part of a marginalized group in the context of the veterinary field. We will do this by providing a support network of peers and mentors, sharing academic opportunities, showcasing guest speakers, participating in service activities, hosting clinical experience labs, and celebrating what sets us apart. Anyone is free to join; the Minorities in Pre-Vet Club at Virginia Tech welcomes everyone regardless of race, gender identity, sexuality, veteran status, or age."
Minority Association of Pre-Health Students,"MAPS is an organization dedicated to assisting students who are striving for a health related career in medicine, nursing, PA, dentistry, veterinary, and much more! MAPS also helps to facilitate opportunities such as focused workshops (resume/CV, personal statement etc.), ""Mini-Med School"" field trips, and a variety of guest speakers. "
Mixed Emotions A Cappella,"Mixed Emotions was founded in 1996 and is both the second-oldest a cappella group and the premier co-ed a cappella group at Virginia Tech. Mixed Emotions has 13 talented members who come together to perform self-arranged songs. The group showcases its music at a concert each fall and spring semester and can also be heard at many charity fundraisers, local festivals, and Greek Life events throughout the academic year. Mixed Emotions's dynamic and ever-changing repertoire often includes genres such as pop, oldies, R&B, classic rock, and country."
Mixed Martial Arts Club at Virginia Tech,Hi there!
Model United Nations at Virginia Tech,"Welcome to the GobblerConnect page for the competitive Model United Nations travel team! We participate in competitive debate through parliamentary procedures, immersive team building activities, and fostering dialogue on world affairs. If you are interested in international policy and debate, fun and dynamic activities or merely puns about countries, feel free to sign up! We continuously strive for an inclusive environment, and feature a vibrant community of students from many different interests, fields of study, and backgrounds. We meet every Monday from 7:30-9:00 pm in the Data and Decisions Building Room 230. If you are interested or have any questions please feel free to reach out to the club or one of our Presidents or VPs, Vihaan Ambre, Sarah Sass, or Matthew Quinn!"
Moped Club at Virginia Tech,"The Moped Club at Virginia Tech is a group of people who own or are otherwise interested in Mopeds. Whether you are into riding, fixing, upgrading, or anything else related to mopeds this is the club for you."
Morgan's Message,"Morgan's Message strives to eliminate the stigma surrounding mental health within the student-athlete community and equalize the treatment of physical and mental health in athletics. We aim to expand the dialogue on mental health by normalizing conversations, empowering those who suffer in silence, and supporting those who feel alone."
Motorcycle Club at Virginia Tech,"Motorcycle Club at Virginia Tech is a group of people who enjoy anything and everything motorcycle related; including riding, discussing, restoring and maintaining bikes. Every make, model, and style of bike is welcome and we encourage those interested in riding to join."
Motorsports Club at Virginia Tech,The motorsports club meets periodically in on campus spaces to watch and discuss racing events as well as the sport itself. We serve to educate those who are aspiring to get into racing and want enjoy major races and events throughout the year with others who are passionate about the sport. 
Mozaiko,"Mozaiko is a program of the Cranwell International Center, and is a collaborative venture that includes support from the College of Liberal Arts and Human Science, Pamplin College of Business and a number of departments across campus with interest in engaging with students in the intercultural experience."
"Mu Alpha Chapter of Delta Sigma Theta Sorority, Inc.","The Mu Alpha Chapter of Delta Sigma Theta Sorority, Inc. was chartered on April 12, 1975. Delta Sigma Theta Sorority, Inc. is a private, non-profit organization whose purpose is to provide assistance and support through established programs in local communities throughout the world. Founded on January 13, 1913 by twenty-two collegiate women at Howard University, the Sorority is currently a sisterhood of more than 200,000 predominately Black college-educated women. This includes over 900 chapters located in the United States, England, Japan (Tokyo and Okinawa), Germany, the Virgin Islands, Bermuda, the Bahamas, and the Republic of Korea. The major programs of the sorority are based upon the organization’s Five Point Programmatic Thrust: Economic Development, Physical and Mental Health, Educational Development, Political Awareness and Involvement, and International Awareness and Involvement."
Mu Epsilon Delta,"The Theta Chapter of Mu Epsilon Delta was founded on July 3rd, 2024, at Virginia Polytechnic Institute and State University by a dedicated group of six founding members. This chapter proudly holds the distinction of being the first co-ed chapter within the United Councils for Fraternities and Sororities under the VT Fraternity and Sorority Life (FSL) community."
Mu Sigma Rho,Mu Sigma Rho is the National Statistics Honors Society. Its purpose is to promote and encourage scholarly activity in statistics and recognize worthwhile achievement among staff and students in academic and nonacademic institutions.
Mucking Team,"The Intercollegiate Mining Games were held for the first time in 1978 to commemorate 91 miners who lost their lives in a mine disaster at the Sunshine Mine in Kellogg, ID. The mine competition team competes against other colleges in the Intercollegiate Mining Games to commemorate those lost. We participate in seven old-fashioned mining events: swede saw, gold panning, mucking, track stand, hand-steel, surveying, and jackleg drilling."
Music Production at Virginia Tech,"The music production club is designed to not only teach beginners the basics of music production but give current artists a platform for collaboration and expression. The club meetings consist of learning new skills, and collaboration projects"
NABA Inc,"This organization is united through membership for accountants, finance, and other business-related majors. We are seeking students that are committed to professional and academic excellence and possess a sense of professional and civic responsibility. Our goal is to assist all, but with a root focus on those within the African American community by connecting them with their desired business profession."
Nanoscience Student Society,"This club's primary goal is raising a Nanoscience and Nanomedicine community of passionate people from various backgrounds. Nanoscience is an incredibly multifaceted field, relying on principles from many different subjects, from physics, chemistry, and electrical engineering to materials science and medicine. Students in the Nanoscience and Nanomedicine programs study all of these topics. However, it's impossible to become an expert in every one of these fields during our brief time as an undergraduate. By creating a platform for students of all backgrounds to join and talk about everything nanotechnology, we are not only allowing those who study Nanoscience and Nanomedicine to converse with experts, but we're also helping those experts in other fields to explore the potential impact their knowledge has in the world of nanotechnology."
National Agri-Marketing Association at Virginia Tech,"The National Agri-Marketing Association is a national association of professionals that is broken down into student chapters across North America. Through the student chapters, we create a product revolving around sustainability and producer benefit in the agriculture industry. We create a marketing plan and a presentation and then present this product at the national conference in April. "
National Association for the Advancement of Colored People,Want to join NAACP at Virginia Tech? Click linktr.ee/NAACP_VT !
National Deer Association At Virginia Tech,The National Deer Association at Virginia Tech works to help improve the quality of deer hunting and secure a sustainable future for wild deer. 
National Organization for the Professional Advancement of Black Chemists and Chemical Engineers at Virginia Tech,"The primary purpose of the National Organization for the Professional Advancement of Black Chemists and Chemical Engineers (NOBCChE) is to initiate and support local, regional, national, and global programs that assist people of color in fully realizing their potential in academic, professional, and entrepreneurial pursuits in chemistry, chemical engineering, and related fields! The Organization promotes careers in science and technology as an achievable goal for elementary, middle, and high school students. In addition, NOBCChE encourages college students to pursue graduate degrees in the science, technology, engineering, and mathematics (STEM) disciplines. NOBCChE makes a difference!!"
National Pan-Hellenic Council,"The National Pan-Hellenic Council, Incorporated (NPHC) is currently composed of nine (9) International Greek letter Sororities and Fraternities: Alpha Phi Alpha Fraternity, Inc., Alpha Kappa Alpha Sorority, Inc., Kappa Alpha Psi Fraternity, Inc., Omega Psi Phi Fraternity, Inc., Delta Sigma Theta Sorority, Inc., Phi Beta Sigma Fraternity, Inc., Zeta Phi Beta Sorority, Inc., Sigma Gamma Rho Sorority, Inc. and Iota Phi Theta Fraternity, Inc. NPHC promotes interaction through forums, meetings and other mediums for the exchange of information and engages in cooperative programming and initiatives through various activities and functions."
National Society of Black Engineers,"With with more than 30,000 members, The National Society of Black Engineers is one of the largest student-managed organizations in the country. NSBE is comprised of more than 233 chapters on college and university campuses, 65 Alumni Extension chapters nationwide and 89 Pre-College chapters. These chapters are geographically divided into six regions. Virginia Tech's NSBE chapter resides in Region 2, along with other eastern coast collegiate chapters."
National Society of Black Women in Medicine,"The National Society of Black Women in Medicine is a multidisciplinary organization dedicated to enhancing the recruitment and retention of Black pre-medical students pursuing diverse career paths in medicine. Our chapter focuses on fostering a supportive community, providing exposure and resources, and promoting the holistic development of Black pre-medical students at Virginia Tech. Our resources encompass undergraduate research opportunities, community service initiatives, participation in national conferences, medical networking prospects, and the establishment of a robust support system for Black pre-medical students. By achieving these goals, we aim to contribute to diversifying the healthcare field and equipping Black pre-medical students with the necessary tools for success in medicine."
Native at Virginia Tech,"Native at VT is dedicated to advancing the visibility of American Indians and other Indigenous peoples on campus, as well as raising an awareness of the issues that confront these diverse populations.  Anyone is welcome to join this organization."
Naturally Sharp,"Naturally Sharp is a student-run a cappella group that exists to share fun vocal performances, inventive interpretations of a wide range of music, and our signature spiffy style since our founding in 2002. We regularly perform throughout the fall and spring semesters, saving a complete set for a concert at the end of each term. We also maintain a regular cycle for recording and publishing our music on all major streaming platforms. Whether singing for a fundraiser, leading the National Anthem before games, or performing our concert, we always strive to sound great and have fun while doing it!"
Nazun at Virginia Tech,"1 in 7 people are food insecure. The purpose of Nazun, (formerly Challah for Hunger) is to bring awareness to this issue and bake and sell challah to raise money for different food pantries for the hungry."
Neuroscience Club,We are a student-led academic organization that allows students to explore the interdisciplinary field of Neuroscience. We invite guest researchers to speak at club meetings and participate in events that promote science in the local community. We also aim to build a community within the School of Neuroscience by creating opportunities for student interactions as well as getting to know the professors. 
Neuroscience Postdoctoral and Graduate Student Association,The purpose of Neuroscience Postdoctoral and Graduate Student Association (NPGA) at Virginia Tech is to create opportunities for students and postdoctoral associates to engage in professional and scientific development at Virginia Tech. This is accomplished through regular advocacy on trainees’ behalf to the Neuroscience department and through organization of professional and social events that meet the needs and interests of trainees.
